File Name,Caption 1,Caption 2,Caption 3,Caption 4,Caption 5
Fighting025_x264.mp4,two groups of people get in a fight in a prison,there is a fight inside the prison,man in a white tshirt attacks another man,a few prisoners get in a fight,two men start fighting and others join
Fighting026_x264.mp4,two groups of people get in a fight at the restaurant,a man attacks a person sitting in the restaurant,a few men are fighting at the restaurant,the attackers leave after beating up two men,two men are injured in a fight at the restaurant
Fighting027_x264.mp4,some men in white tshirts get beaten up on the road,a man attacks a man on the road and others join,a group of men are attacked by some people,three men in white clothes get in a fight on the road,two groups of people get in a fight on the street
Fighting028_x264.mp4,armed men try to attack men but get beaten up,robbers attack people at the store but get beaten up,a few men beat up two armed men,armed men fight with people working at the store,two armed men enter a store and start a fight
Fighting029_x264.mp4,some people engage in a fight at the store,a few men are hitting each other inside the shop,a man attacks the employee in the shop,a man starts a fight in the store and others join,some men get violent at a store
Fighting030_x264.mp4,a man gets attacked on the street but fights back,a man gets stabbed in a fight on the road,the attackers run away after stabbing the man,a man falls on the ground after being stabbed,three men start a fight with another man on the street
Fighting031_x264.mp4,two people argue on the street and fight,a man gets off his bicycle and fights,two people are fighting on the road,two men are arguing on something on the street,two people get violent and fight on the road
Fighting032_x264.mp4,the employee gets in a fight with a man,two men are fighting at the bank,a man attacks the employee at the shop,the two people fighting are stopped by guards,security guards try to stop two people from fighting
Fighting033_x264.mp4,a man beats up two people in the tunnel,two people attack a man and get beaten up,two men fight with a man and get beaten up,man leaves with the woman after fighting,the couple leaves after the guy beats up two people
Fighting034_x264.mp4,a man gets attacked while boarding the bus,man in a white shirt gets in a fight with two people,a man is getting in the bus when he is attacked,a person throws something at another man near the bus,people start fighting on the street near a bus
Fighting035_x264.mp4,two men fight in a bus,there is a fight between two men in the bus,a man leaves the bus after fighting,two men hit each other in the bus,two men get physically violent in the bus
Fighting036_x264.mp4,two men stab and hit people on the road,armed men attack two people on the road and leave,two armed men stab two people,two people get stabbed and beaten up on the road,two men attack two people on the road and leave
Fighting037_x264.mp4,a man hits a woman and leaves,a man punched a woman and drove away,the man left in his car after hitting a woman,a man hits a woman and argues with an old man,a man drove away after punching an old woman
Fighting038_x264.mp4,a guy chases a man in a restaurant and fights him,two men are fighting in the restaurant,a man tries to run away but gets beaten up,a guy hits a man after chasing him into a restaurant,a man tries to run from a guy but fights with him
Fighting039_x264.mp4,a group of men fight on the street,a few men are hitting others in public,some men engage in violence on the street,some men fight very violently on the street,people are beating each other up on the road
Fighting040_x264.mp4,two men fight violently on the road,two people are fighting over a gun on the road,a person attacks a man holding a gun,two men beat each other up on the street,two men with a gun fight and fire on the road
Fighting041_x264.mp4,a group of men were fighting in the store,people run away from the shop after the fight,a few men leave the store after fighting,the violent people leave the store after hitting,some people hit each other and run away from the shop
Fighting042_x264.mp4,two armed men fight at the door,an armed man gets in a fight with the guard,the armed man leaves after the fight,two men are fighting at the door,a man fights with the guard near the door
Fighting043_x264.mp4,a man attacks the van driver,a woman tries to stop a man from hitting the driver,the van driver gets beaten up by a man,a man engages in physical violence with the driver,a person in the van gets in a fight with another man
Fighting044_x264.mp4,a group of people beat up two men,a few men are hitting two people in public,some men get violent and hit another man,a man gets beaten up outside a garage by some men,a few people beat up two men outside a garage
Fighting045_x264.mp4,a man attacks a security guard,a man and a guard get in a fight on the street,a man starts a fight with the security in public,security guards try to stop a fight between two men,two men start fighting on the road
Fighting046_x264.mp4,a few kids with sticks get scared of something,the kids in the lab are afraid of something,children in a lab hold a stick to fight,kids hold sticks to protect themselves,kids in a lab are holding sticks when there is an explosion
Fighting047_x264.mp4,two groups of people get in a fight at a garage,a woman and some men stop the people from entering,people try to enter the garage forcefully,a few men get violent and hit the people at the garage,some people try to physically stop the men at the garage
Fighting048_x264.mp4,a few men attack other people on the street,some people on the road are attacking others,some men engage in physical violence on the road,people in blue outfits attack others on the road,two men get beaten up by some people at night
Fighting049_x264.mp4,some people in jackets fight in the metro,a man attacks another man in the metro,a few men enter the metro and engage in violence,people get very violent inside the metro,some men suddenly attack people in the metro
Fighting050_x264.mp4,some people fight over an item in the store,people try snatching an item and start a fight,some men and women fight in the store,people get violent over an item from the store,people are hitting each other in the shop due to an item
